303,3286
1724,18758
4184,15964
5243,13883
656,7318
955,9045
2479,14511
5463,236
2455,18687
5458,6165
3852,18480
635,18162
3108,18071
2706,11642
33,511
2342,14087
4834,1245
1736,3715
2095,9520
2491,11241
964,15594
1643,2437
4140,675
4192,15920
4495,10510
3416,12076
2801,12114
2741,4838
2391,5918
4048,13207
4437,8793
2383,764
3384,438
983,19838
1739,13158
5427,3802
4818,311
3828,9951
5087,3325
3758,484
2785,2757
3828,11446
1459,14324
1990,13368
345,8238
4812,11122
4519,353
399,10710
3452,17632
710,5645
3118,11081
4104,6563
5108,6800
3782,10240
988,10113
2121,18714
3481,9153
1062,4430
983,15602
4431,10231
1664,3074
1688,3724
4143,5837
1702,1682
2796,11075
402,8118
3391,14766
3849,7480
2090,7160
3019,12124
1700,272
744,840
2823,7877
1706,8473
5104,17397
1064,14110
1459,10127
3826,11480
3731,17561
1998,11842
3465,16914
1071,16193
3079,15310
4798,1432
4463,3484
4812,4994
2679,4195
1023,17675
5500,10685
340,20086
320,16364
5175,6031
4118,20121
2142,18448
5500,40
1405,8117
2791,15995
78,5722
2022,14117
2331,7315
5087,16556
5109,10280
1449,9728
4827,15397
1736,16713
1458,8245
2356,9367
5183,8600
2676,790
3,15838
2380,1368
2054,2433
1722,2350
4416,5791
4750,15643
4555,10608
5208,7598
2721,12955
2356,6834
4807,2326
3726,990
1764,16194
3143,8684
3809,5128
58,15230
3464,7790
1699,19368
3431,15567
2323,15873
4873,4998
4468,4037
1760,3913
3471,16844
4519,10837
3174,397
976,8682
3750,9044
3465,6440
1051,5631
4062,14524
1771,10323
2030,16880
4115,16073
3360,4398
3383,18284
3849,4754
766,11645
1295,4362
4870,17113
3851,6438
3447,1842
2793,20038
608,16355
5139,17201
2827,11766
1400,19720
752,15685
1385,18365
690,8955
1708,9393
4146,13915
4529,4808
4448,4527
311,13190
12,16924
5243,12318
1039,18713
4406,11968
2033,6602
55,9438
1103,3678
383,14954
1442,4318
5094,757
1079,4275
1303,3806
3384,7630
388,19328
982,17925
419,8158
4059,11524
4083,15481
3114,316
1364,4438
3113,1284
4519,10288
637,14006
4387,12966
5078,18635
2019,18753
4891,15007
271,4244
278,7886
2430,3350
771,16916
1018,14356
2803,6048
3431,3808
3704,14004
4849,13646
4760,13806
3704,5992
1424,15074
3838,5083
5172,9848
3013,12084
1008,16160
366,17672
3469,951
39,17768

fold along y=10239
fold along y=5119
fold along y=2559
fold along y=1279
fold along x=2751
fold along x=1375
fold along y=639
fold along y=319
fold along y=159
fold along x=687
fold along x=343
fold along y=79
fold along y=39
fold along y=19
fold along x=171
